,일자,제목,내용
20,25.08.18,7월 미국 소매판매: 당분간 이어질 둔화,"소매판매 예상치 부합7월 미국 소매판매는 전월대비 0.5% 증가. 자동차(+1.6%) 판매가 늘었고, 무점포(+0.8%) 판매는 6개월 연속 증가. 가구(+1.4%) 판매도 올해 가장 많이 늘었음. 반면 전자 및 가전제품(-0.6%) 판매는 3개월 연속 줄었고, 외식(-0.4%) 판매는 감소 전환"
21,25.08.18,No Stagflation,"I. 핵심요약미국의 스태그플레이션 가능성은 낮다. 성장 측면에서 보면, 해고와 구직단념자 급증이 나타나지 않았고, 주당 임금은 꾸준히 상승하고 있다. 지난달 실업자 증가는 주로 노동시장에 진입했으나 일자리를 구하지 못한 사람이 늘었기 때문이다. 노동시장 초과수요가 줄면서 구직 난이도가 높아졌지만, 해고 또한 크게 늘지 않았다. 채용과 노동공급이 동시에 감소하면, 노동시장은 안정적으로 유지된다. 물가는 관세 영향으로 강해지겠지만, 그 여파가 경기 궤적을 바꿀 정도는 아닐 것이라고 생각한다. 미국은 관세를 적절히 활용하면 후생이 늘어날 수 있는 거의 유일한 국가다. 직관적으로 보면, 자국 소비자들의 관세 부담 일부를 상대국에 전가해서 이득을 얻는다. 관세 여파로 Core 물가가 강해지지만(당분간 3%), 상단은 막히고(3% 초반이 고점), 내년 2/4분기 이후 2%대로 내려오는 흐름을 예상한다. 이제부터는 관세가 가격에 본격적으로 반영되는 구간이다. 관세 불확실성이 완화됐기 때문에 기업들의 의사결정도 수월해질 것이다. 관세가 납득할 만한 수준이라면, 기업들은 신속하게 대응한다. 연준 연구에 따르면, 가격 전가는 관세 인상 1년 이내에 집중된다. 관세 효과는 내년 상반기까지 물가에 집중적으로 더해질 가능성이 높다. 이를 감안하면, CPI는 일시적으로 3%에 근접할 수 있다. 8~10월 CPI에는 기저효과도 더해진다. Core CPI와 Core PCE 물가는 내년 상반기까지 3%를 상회할 전망이다. 지난달 주거 및 에너지 물가는 안정됐지만, 여타 서비스 물가는 강해졌다. 서비스 물가가 약해지면, 관세에 따른 상품 물가 상승을 어느정도 상쇄할 수 있는데, 그 효과가 미미한 상황이다. 당분간 물가가 예상을 상회할 가능성을 염두에 둬야 한다. 관세 영향이 더해져도 연내 2회 인하는 가능하다. 6월 연준은 점도표에 2차례 인하를 반영하면서 4/4분기 Core PCE와 PCE 물가 상승률을 3.1%, 3.0%로 제시했다. 이들 물가가 하반기에 각각 월평균 0.37%, 0.27% 상승해야 도달 가능한 수치다. 주거와 에너지 물가 둔화가 이어진다면, 물가가 연준 시나리오보다 강해질 가능성은 낮다. 관세가 높아졌지만, 코로나 이후부터 지속되고 있는 미국의 우위가 쉽게 깨질 것 같진 않다."
22,25.08.18,관세 영향이 조금씩 보이는 경제 데이터,"수요가약한상황은 여전함관세가 부과되었음에도 불구하고 기업들이 가격을 전면적으로 전가하기는 어려운 상황으로 판단된다. 수요가 견조하지 않고, 곳곳에서 경기 둔화의 신호가 포착되고 있기 때문이다. 물론 경기 둔화 시그널은 항상 존재해왔으며, 단일 지표가 전체 경제 방향을 결정하지는 않는다. 그러나 과거 수년간의 성장세와 달리 올해 상반기에는 소비가 뚜렷하게 둔화되는 모습이 확인되었고, 이로 인해 기업들이 가격 전가에 신중할 수밖에 없는 환경이다. 만약 수요가 강했다면 관세 부과는 오히려 가격 인상의 명분이 되었을 것이다. 하지만 지금까지도 전가가 제한적이었던 배경에는 관세율 확정 지연이라는 불확실성뿐 아니라 근본적으로 약한 수요 여건이 자리 잡고 있는 것으로 보인다. 고용시장 역시 점차 냉각되는 모습이다. 실업률은 경제활동참가율 하락의 영향으로 큰 폭의 상승은 나타나지 않았지만, 고용 수요 자체는 빠르게 둔화되고 있다. 실업률은 비율 지표이기 때문에 경제 상황을 온전히 반영하지 못할 때가 있으며, 구직 의사를 상실한 실업자가 늘어날 경우 실업률은 하락 압력을 받을 수 있다. 그러나 이는 일반적으로 경기 둔화 신호로 해석된다. 특히 신규 진입 인력이 쉽게 일자리를 얻지 못하는 모습은 고용시장의 약세를 보여준다. 또한 하위 소득 계층의 임금 상승률 둔화속도가 전체 평균보다 더 빠른 점 역시 주목할 필요가 있다. 향후 미국 소비가 지속적인 성장세를 유지하기 위해서는 기존과는 다른 새로운 모멘텀이 필요하다. 연준의 금리 인하가 단기적으로 긍정적인 효과를 줄 수 있으나, 정책 효과가 실물 경제에 반영되기까지는 수 분기가 소요될 것이다. 따라서 올해 내 미국 경기 전망에 대해서는 신중할 필요가 있다. 하반기 성장률 반등이 나타나더라도 그 폭은 크지 않거나, 중상위 소득 계층 주도로 제한될 가능성이 높다. 현재 수요가 충분히 강하지 않다는 점은 소비재 주가의 상대적 약세와 테크 주식 대비 저조한 흐름에서도 확인된다."
23,25.08.18,별걸 다 보여주는 매크로: 재부각되는 끈적임,"미국 7월 CPI: 표면적 안정, 내면적 불편함헤드라인CPI:식료품·에너지의완충헤드라인 CPI는 전월 대비 +0.2%, 전년 대비 +2.7% 상승하며 예상치(+2.8%)를 소폭 하회했다. 주요 완화요인은 식료품과 에너지였다. 식료품 가격은 6월 +0.3%에서 7월 보합(+0.0%)으로 둔화했고, 가정용 식품 가격은 -0.1%로 하락했다. 외식 물가 역시 상승폭이 축소되며 물가 압력을 줄였다. 에너지는 전월 대비 -1.1% 하락,그중 휘발유가 -2.2% 떨어지며 CPI 둔화에 결정적 역할을 했다."
24,25.08.18,"08/18, Kiwoom Morning Letter","Comment- 14일(목) 코스피는 9월 금리 인하 기대에도 불구하고 개인과 외국인의 매도세에 상승폭이 제한되며 3,225.66로 상승 마감(KOSPI 0.04%, KOSDAQ 0.14%). 기관은 168억원 순매수, 개인과 외국인은 각각 529억원, 799억원 순매도로 대응. 삼성전자(-0.42%)는 3거래일 만에 반락, SK하이닉스(-0.54%)도 하락세. 미국 AI 인프라 업체 코어위브가 실적 부진에 20%이상 폭락하며 국내 반도체주 투자심리도 위축된 영향. KB금융(-1.22%), 신한지주(-0.43%) 등 금융주와 달리 2분기 역대 최대 실적을 기록한 메리츠금융지주(6.15%) 급등. 조정을 보이던 에이피알(2.40%), 한국화장품제조(1.60%) 등 화장품주도 저가 매수세 유입되며 상승 마감. 코스닥 지수에서는 웹툰 엔터테인먼트와 월트디즈니 간 파트너십 체결되며 미스터블루(11.17%), 탑코미디어(17.61%) 등 웹툰주 급등."
25,25.08.18,빅컷이 아니어도 괜찮다,"빅컷에 베팅할 정도는 아니다논란이 많았던 관세 영향이 미국 경제에 나타나고 있다. 물가는 높아지고, 성장은 약해지고 있다. 다행히 속도가 가파르지 않을 뿐이다. 7 월 미국 소비자물가지수 발표(0.2%mom, 2.7%yoy) 이후 9 월 금리인하 기대는 유력해졌다. 최근 한달 동안 실질 성장을 의미하는 TIPS 금리는 14bp 하락했다. 반면, 인플레 기대는 정체다(도표1). 미국 금리 하락이 단기물 중심으로 나타난 이유다(2 년물 -19bp, 도표 2). 연준이 9 월에 금리를 인하하더라도, 기대와는 달리 빅컷(50bp)에 대해서 의구심이 있다. 인플레 때문이다. 미국 주가가 사상최고치 근처다. 굳이 금리인하가 추가 상승 동력이 된다고 보기 쉽지 않다. 국내 금리도 미국금리에 연동되나, 미국에 비해 국내 금리 하락 폭은 크지 않다(도표 3)."
26,25.08.18,Econ Check-up,"9월 인하 기대 뒷받침한 미국 물가- 지난주 미국 고용 충격 확인한 가운데 연준 금리 인하 속도를 결정할 수 있는 물가 지표에 시장 관심 집중. 7월 소비자물가 전월대비 0.2%, 전년대비 2.7% 올라 제한적 물가 상승 압력 확인. 서비스 중심 물가 상승 압력 확대에도 관세 영향 받는 재화 가격 상승 미미했으며 식료품, 에너지 등 원자재 가격 안정이 물가 상승 억제. 미국 관세 발 가격 상승 점진적 형태로 진행될 가능성 확인. 경기 인식 개선이 제한될 경우 관세 발 비용 전가 제한되겠으나 선제적 인하 등으로 경기 경로 상향 시 물가 상승 압력 확대 가능- 미국 재무장관은 9월 50bp 인하 시작으로 지속적 금리 인하 필요 언급. 트럼프 대통령 차기 연준 의장 과거보다 일찍 지명 계획 언급하며 금리 인하 압박. 비둘기파로 분류된 시카고 연은 총재는 관세의 인플레 영향 확인 후 금리 인하 시기 판단할 수 있다고 언급했으나 시장 영향 제한적- 트럼프 대통령은 대중 관세 90일 유예 행정명령 서명해 11월 중순까지 관세 재상승 위험 제한적- 중국 7월 신규 위안화대출 500억위안 감소했으나 6월 급증(2.24조위안) 기저효과 감안 필요. M2 통화량 전년대비 8.8% 늘며 은행대출보다 직접 금융 시장 및 정부 통한 유동성 공급 확인"
27,25.08.18,신한 FX Check-up,"물가 발 9월 인하 기대 강화 속 약 달러 전개- 달러화지수 97pt 후반대로 하락. 미국 7월 소비자물가 전월대비 0.2% 오르는 데 그치며 9월 금리 인하 기대 확대로 달러 하방 압력 강화. 트럼프 대통령의 금리 인하 독촉 발언 및 베센트 장관의 9월 빅컷 지지 발언 등도 달러화 하방 압력으로 자리- 달러/유로 1.17달러 내외 상승. 주 초반 트럼프의 미-러 정상회담 의미 축소 평가에 휴전 기대 약화됐음에도 미국 소비자물가 발표 이후 전개된 대외 약 달러에 연동돼 유로화 강세 시현. 엔/달러는 147엔 내외 하락 우위 박스권 등락. 주중 주요 이벤트 부재한 가운데 대외 약 달러에 연동- 원/달러 1,370원대로 하락. 대외 강 달러 되돌림에 주중 외국인 코스피 순매수 맞물리며 원화 지지. 미-중 상호관세 추가 유예 결정 등 불확실성 완화돼 수급 요인 개선된 영향"
28,25.08.18,계속되는 완만한 상승세,"완만한 상승세의 지속중국 증시는 미중 관세 유예 합의, 유동성 유입, 정부 정책 지속에 따라 완만한 상승세가 이어지고 있다. 관세 휴전 마지막 날인 11 일 도널드 트럼프 대통령은 관세 휴전을 90 일 더 연장하는 내용의 행정명령에 서명했고 중국 당국도 보복으로 시행한 미국 방산업체 수출 통제 및 블랙리스트 제재를 90 일간 임시 중단한다고 발표하며 관세 불확실성은 다시 한번 안정되었다. 한편 부동산 개발업체 헝다그룹이 오는 25일 홍콩 증시에서 상장 폐지된다는 소식이 있었으나 이미 작년 1 월 29 일부터 거래 정지라는 점에서 중국 증시 투자심리에는 큰 영향을 주지 못했다. 오히려 미국의 금리 인하 기대감이 고조되며 중국 증시로의 유동성 유입 기대감이 형성되었다. 중국 증시로의 유동성 유입은 중국 내 지표에서도 확인되고 있다. 레버리지 자금이 10 년만에 2 조 위안을 돌파하였으며 주식시장이 활성화됨에 따라 비은행 금융기관의 예금규모가 증가하며 7 월 중국 M2 증가율은 +8.8%yoy 로 상승세를 지속했다. 이에 더해 중국 당국의 경기 부양을 위한 국채 발행 증가가 더해져 M1 증가율이 +5.6%yoy로 반등해 M1과 M2 증가율의 격차는 -3.2%p로 축소되었다. 통상 M1-M2 증가율의 반등은 주식시장의 저점 형성과 반등을 이끌었다는 점에 주목할 필요가 있다."
29,25.08.14,"08/14, Kiwoom Morning Letter","Comment- 13일(수) 코스피는 예상치에 부합한 미국 물가지표에 금리 인하 기대치 커지며 3,224.37로 상승 마감(KOSPI 1.08%, KOSDAQ 0.86%). 또한, 원/달러 환율이 안정되며 외국인 6천359억원 매수세로 지수는 상방 압력. 개인과 기관은 각각 6천604억원, 808억원 순매도. 특히 달바글로벌(-4.59%), 코스맥스(-2.40%) 등 화장품주는 차익 매물이 출회되며 하락세. 엔비디아에 중국용 AI 칩 수출 추가 허용 가능성이 시사되며 SK하이닉스(3.35%), 삼성전자(1.13%)등 반도체주 상승 마감. 베트남과 조선 협력 방안 논의한 HD현대(0.91%)에 HD한국조선해양(6.60%), HD현대중공업(2.52%)등 조선주 상승. 반면, 세제개편안 불확실성으로 신한지주(-0.86%), 하나금융지주(-0.12%)등 일부 금융주 하락. 코스닥 지수는 펩트론(14.24%) 급등, JYP엔터테인먼트(-8.80%) 급락 등 종목별 등락폭 확대."
